Work,Rihanna,2016,Rihanna - Work (Explicit) ft. Drake,,,,,,
Can’t stop the feeling,Justin Timberlake,2016,"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)",,,,,,
Pillowtalk,ZAYN,2016,ZAYN - PILLOWTALK (Official Video),,,,,,
Too Good,Drake,2016,Drake - Too Good ft. Rihanna,,,,,,
Love on the brain,Rihanna,2017,Rihanna - Love On The Brain,,,,,,#VALUE!
King of my castle,Wamdue Project,2017,Wamdue Project - King of My Castle (Official HD Video),,,,,,#VALUE!
There’s nothing holding me back,Shawn Mendes,2017,Shawn Mendes - There's Nothing Holdin' Me Back (Official Music Video),,,,,,#VALUE!
Me rehuso,Danny Ocean,2017,Danny Ocean -  Me Rehúso (Official Audio),,,,,,#VALUE!
Despacito,Luis Fonsi,2017,Luis Fonsi - Despacito ft. Daddy Yankee,,,,,,#VALUE!
Wish I didn’t miss you,Angie Stone,2018,Angie Stone - Wish I Didn't Miss You,,,,,,
Cola,Camelphat,2018,CamelPhat & Elderbrook 'Cola' (Official Video),,,,,,
So hooked on your lovin’,Selace,2018,Selace ‘So Hooked On Your Lovin’ (Mousse T.’s Extended Disco Shizzle),,,,,,
Gypsy Woman,Crystal Waters,2018,Crystal Waters - Gypsy Woman (She's Homeless) (Official Music Video),,,,,,
Lola’s Theme,The Shapeshifters,2018,The Shapeshifters - Lola's Theme (OFFICIAL VIDEO),,,,,,
"Pa mi, Cuaderno, Que mas pues",Dalex,2019,Dalex - Mashup Acústico (Rich Music Sessions),,,,,,
Cuaderno,Nicky Jam,2019,"Dalex - Cuaderno ft. Nicky Jam, Sech, Justin Quiles, Feid, Lenny Tavárez, Rafa Pabön [Audio Oficial]",,,,,,
No voy  a llorar,Natti Natasha,2019,Natti Natasha - No Voy a Llorar [Official Video],,,,,,
Callaita,Bad Bunny,2019,BAD BUNNY - CALLAÍTA (Video Oficial),,,,,,
Fingias,Paloma Mami,2019,Paloma Mami - Fingías (Official Video),,,,,,
Rise Up,Andra Day,2020,Andra Day - Rise Up [Official Music Video] [Inspiration Version],,,,,,
Ride It,Regard,2020,Regard - Ride It (Official Video),,,,,,
Drive,Black Coffee,2020,Drive,,,,,,
Promises,Calvin Harris,2020,"Calvin Harris, Sam Smith - Promises (Official Video)",,,,,,
El mismo Aire,Camilo,2020,"Camilo, Pablo Alborán - El Mismo Aire (Official Video)",,,,,,
Needed Me,Rihanna,2021,Needed Me,,,,,,
Pretty Please,Dua Lipa,2021,Dua Lipa - Pretty Please (Music Video),,,,,,
La Fama,Rosalia,2021,ROSALÍA - LA FAMA (Official Video) ft. The Weeknd,,,,,,
Demasiadas Mujeres,C. Tangana,2021,C. Tangana - Demasiadas Mujeres (Video Oficial),,,,,,
No se perdona,Rels B,2021,"Rels B, NATHY PELUSO - NO SE PERDONA (Video Oficial)",,,,,,
Buenos Aires,Nathy Peluso,2022,NATHY PELUSO - BUENOS AIRES,,,,,,
Todo Contigo,Yoli Saa,2022,Yoly Saa - Todo contigo (Videoclip Ofiical),,,,,,
Slomo,Channel,2022,Chanel - SloMo (Official Video) [Eurovision 2022],,,,,,
Linda,Rosalia,2022,Tokischa x ROSALÍA - Linda [Official Video],,,,,,
Los Tontos,C. Tangana,2022,"C. Tangana, Kiko Veneno - Los Tontos",,,,,,
Flowers,Miley Cyrus,2023,Miley Cyrus - Flowers (Official Video),,,,,,
The Rapture pt. III,Keinemusik,2023,"&ME, Black Coffee - The Rapture Pt.III",,,,,,
Innerbloom,Rufus du Sol,2023,RÜFÜS DU SOL ?? Innerbloom (Official Video),,,,,,
Prisioner,Miley Cyrus,2023,Miley Cyrus - Prisoner (Official Video) ft. Dua Lipa,,,,,,
Watermelon Sugar,Shoby,2023,Zach Oliver - Watermelon Sugar (Shoby Remix),,,,,,
Move,Keinemusik,2024,"Adam Port, Stryv - Move feat. Malachiii (Extended Version)",,,,,,
Oh my God,Adele,2024,Adele - Oh My God (Official Video),,,,,,
Jump,Levi,2024,Levi - Jump (Official Visualiser),,,,,,
Darling,Shimza,2024,Shimza & Aloe Blacc - Darling (Visualizer) [Helix Records],,,,,,
Don’t be so shy,Imany,2024,Imany - Don't Be So Shy (Filatov & Karas Remix) / Official Music Video,,,,,,
Crazy for it,Keinemusik,2025,"Keinemusik, Boys Noize - Crazy For It (feat. Vinson)",,,,,,
Una noche,HUGEL,2025,una noche con hugel,,,,,,
Places,Shimza,2025,Elderbrook & Shimza - Places (Official Video),,,,,,
Overthink,Naarly,2025,Overthink,,,,,,
I Adore You,HUGEL,2025,HUGEL x Topic x Arash feat. Daecolm - I Adore You (Visualizer),,,,,,
